해역코드,해역,관측소,설치일자,종료일자,위도(°N),경도(°E),수온,,,수심(m),,,제공기관
,,,,,,,표층,중층,저층,표층,중층,저층,
bgna3,동해,강릉(bgna3),2008-07-08,,37.799,128.9492,O,O,O,5,20,30,
bgrh3,동해,고리(bgrh3),2017-04-03,,35.3186,129.3147,O,X,X,2,,,한수원
fggo3,동해,고성 가진(fggo3),2024-03-11,,38.3681,128.5239,O,O,O,5,15,28,
fgbg3,동해,고성 봉포(fgbg3),2016-03-18,2024-02-15,38.2267,128.626,O,O,O,5,20,30,
bgsi5,동해,구룡포 석병(bgsi5),2018-04-12,2020-12-04,35.9978,129.5861,O,X,X,1,,,기상청
fghe8,동해,구룡포 하정(fghe8),2014-08-08,,35.9607,129.5497,O,X,X,3,,,
bgj8a,동해,기장(bgj8a),2008-11-04,,35.187,129.227,O,O,O,5,10,15,
bgjh3,동해,기장(한수원)(bgjh3),2017-04-03,,35.1825,129.2352,O,X,X,2,,,한수원
bdch3,동해,덕천(bdch3),2017-04-03,,37.1,129.4041,O,X,X,2,,,한수원
bbji5,동해,부산 장안(bbji5),2018-04-12,,35.2958,129.2883,O,X,X,1,,,기상청
bsc87,동해,삼척(bsc87),2008-07-22,,37.3023,129.3127,O,O,O,5,15,25,
sc001,동해,삼척(sc001),2004-11-23,2005-10-25,37.4384,129.1876,X,X,X,5,,,
so001,동해,속초(so001),2004-11-19,2005-10-22,38.1937,128.6101,X,X,X,5,,,
byy87,동해,양양(byy87),2008-07-13,,38.0808,128.6998,O,O,O,5,15,25,
byph3,동해,양포(byph3),2017-04-03,2020-10-20,35.8658,129.5472,O,X,X,2,,,한수원
byd8a,동해,영덕(byd8a),2008-11-04,,36.5737,129.437,O,O,O,5,20,30,
eyg5c,동해,영덕 거무역(eyg5c),2005-12-17,2014-08-08,36.5799,129.4138,X,X,X,5,,,
byyh3,동해,온양(byyh3),2017-04-03,,37.0194,129.425,O,X,X,2,,,한수원
bugi5,동해,울산 간절곶(bugi5),2018-04-12,,35.3667,129.375,O,X,X,1,,,기상청
buhi5,동해,울진 후포(buhi5),2018-04-12,,36.7192,129.4881,O,X,X,1,,,기상청
bwj85,동해,울진 후포(bwj85),2008-08-14,2011-03-12,37.1976,129.8131,X,X,X,5,15,22,
bysh3,동해,월성(bysh3),2017-04-03,2020-10-20,35.7177,129.495,O,X,X,2,,,한수원
bjjh3,동해,정자(bjjh3),2017-04-03,2020-10-20,35.6347,129.495,O,X,X,2,,,한수원
bjhh3,동해,진하(bjhh3),2017-04-03,,35.3847,129.368,O,X,X,2,,,한수원
ph001,동해,포항(ph001),2004-11-29,2008-05-27,36.0414,129.4779,X,X,X,5,,,
bpwi5,동해,포항 월포(bpwi5),2018-04-12,,36.2169,129.4017,O,X,X,1,,,기상청
fgmk6,남해,강진 마량(fgmk6),2020-06-16,,34.4448,126.8133,O,X,X,2,,,전라남도
fgsl6,남해,강진 사초(fgsl6),2021-06-11,,34.4599,126.7691,O,X,X,2,,,전라남도
ms002,남해,거제(ms002),2004-07-22,2005-07-04,34.5359,128.4589,X,X,X,5,,,
fgg4c,남해,거제 가배(fgg4c),2004-12-24,,34.7851,128.5664,O,X,X,5,,,
fggp7,남해,거제 가배2(fggp7),2025-07-21,,34.7694,128.5519,O,O,O,3,5,9,거제시청
fggj7,남해,거제 가조(fggj7),2019-07-02,2019-12-12,34.9772,128.5142,O,O,O,1,6,10,
gi086,남해,거제 일운(gi086),2008-06-20,,34.8038,128.7094,O,X,X,5,,,
btei5,남해,거제 해금강(btei5),2018-04-12,,34.7358,128.6908,O,X,X,1,,,기상청
bgyga,남해,고성 용정(bgyga),2016-10-24,2019-04-19,34.9897,128.5009,O,X,X,5,,,가스공사
bgjgb,남해,고성 장좌(bgjgb),2016-10-24,2019-04-19,34.9708,128.4655,O,X,X,5,,,가스공사
ys002,남해,고흥(ys002),2004-02-10,2005-01-20,34.2612,127.3509,X,X,X,5,,,
fggm6,남해,고흥 금산(fggm6),2022-06-07,,34.4526,127.097,O,X,X,3,,,전라남도
fgnm6,남해,고흥 남열(fgnm6),2022-06-07,,34.5713,127.4656,O,X,X,2,,,전라남도
fgdl4,남해,고흥 동촌(fgdl4),2021-04-22,,34.433,127.2258,O,X,X,2,,,전라남도
fgpo4,남해,고흥 발포(fgpo4),2023-04-20,,34.4416,127.3701,O,X,X,3,,,전라남도
bgui5,남해,고흥 부아도(bgui5),2018-04-12,,34.3753,127.1786,O,X,X,1,,,기상청
fgsj3,남해,고흥 소록도(fgsj3),2019-03-27,,34.5049,127.1228,O,X,X,3,,,
fgso4,남해,고흥 시산(fgso4),2023-04-20,,34.3847,127.2776,O,X,X,2,,,전라남도
fgyl4,남해,고흥 연소(fgyl4),2021-04-22,,34.4365,127.1181,O,X,X,2,,,전라남도
fgyo4,남해,고흥 염포(fgyo4),2023-04-20,,34.4271,127.4896,O,X,X,2,,,전라남도
